source_id,source_type,raw_text,source_url,date,company_seed,source_type_cleaned,raw_text_cleaned,source_url_cleaned,date_cleaned,company_seed_cleaned,company_seed_invalid,company_seed_invalid_reason,row_invalid_reasons,row_valid_for_ner
22,PUBMED,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,https://example.com/pubmed6,2022-10,CRISPR Therapeutics,PUBMED,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,https://example.com/pubmed6,2022-10,CRISPR Therapeutics,False,,,True
29,SEC,12345 acquired 67890.,https://example.com/bad7,2024-01,12345,SEC,12345 acquired 67890.,https://example.com/bad7,2024-01,12345,False,,,True
30,PUBMED,-- collaborated with @@##.,https://example.com/bad8,2020-03,--,PUBMED,-- collaborated with @@##.,https://example.com/bad8,2020-03,--,False,,,True
31,SEC,TBD entered into a licensing agreement.,https://example.com/bad9,2024-06,TBD,SEC,TBD entered into a licensing agreement.,https://example.com/bad9,2024-06,TBD,False,,,True
32,USPTO,Example text with no company at all.,https://example.com/bad10,2021-12,NoCompany,USPTO,Example text with no company at all.,https://example.com/bad10,2021-12,NoCompany,False,,,True
33,SEC,Pfizer acquired Seagen in 2023. The deal expanded Pfizer's oncology portfolio.,https://example.com/sec13,2023-01,Pfizer,SEC,Pfizer acquired Seagen in 2023. The deal expanded Pfizer's oncology portfolio.,https://example.com/sec13,2023-01,Pfizer,False,,,True
34,SEC,"Merck licensed technology from Moderna. Later, Merck collaborated with BioNTech on a separate vaccine effort.",https://example.com/sec14,2024-02,Merck,SEC,"Merck licensed technology from Moderna. Later, Merck collaborated with BioNTech on a separate vaccine effort.",https://example.com/sec14,2024-02,Merck,False,,,True
35,USPTO,"AbbVie filed patent with Genmab. In a separate application, AbbVie worked with Calico.",https://example.com/uspto5,2022-11,AbbVie,USPTO,"AbbVie filed patent with Genmab. In a separate application, AbbVie worked with Calico.",https://example.com/uspto5,2022-11,AbbVie,False,,,True
36,PUBMED,Novartis collaborated with Alnylam on siRNA delivery. Novartis also worked with Intellia on genome editing.,https://example.com/pubmed7,2023-07,Novartis,PUBMED,Novartis collaborated with Alnylam on siRNA delivery. Novartis also worked with Intellia on genome editing.,https://example.com/pubmed7,2023-07,Novartis,False,,,True
37,SEC,CSL Behring and CSL Behring GmbH were both referenced in the transaction summary.,https://example.com/sec15,2023-09,CSL Behring,SEC,CSL Behring and CSL Behring GmbH were both referenced in the transaction summary.,https://example.com/sec15,2023-09,CSL Behring,False,,,True
38,SEC,10X Genomics Sweden AB and 10X Genomics BV were both mentioned in the filing.,https://example.com/sec16,2024-07,10X Genomics,SEC,10X Genomics Sweden AB and 10X Genomics BV were both mentioned in the filing.,https://example.com/sec16,2024-07,10X Genomics,False,,,True
39,PUBMED,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,https://example.com/pubmed8,2022-01,Johnson & Johnson,PUBMED,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,https://example.com/pubmed8,2022-01,Johnson & Johnson,False,,,True
40,USPTO,"Regeneron and Regeneron Pharmaceuticals, Inc. appear as co-assignees in related filings.",https://example.com/uspto6,2021-03,Regeneron,USPTO,"Regeneron and Regeneron Pharmaceuticals, Inc. appear as co-assignees in related filings.",https://example.com/uspto6,2021-03,Regeneron,False,,,True
41,SEC,Eli Lilly acquired POINT Biopharma to strengthen its radiopharmaceutical portfolio.,https://example.com/sec17,2023-10,Eli Lilly,SEC,Eli Lilly acquired POINT Biopharma to strengthen its radiopharmaceutical portfolio.,https://example.com/sec17,2023-10,Eli Lilly,False,,,True
42,SEC,Roche entered into a collaboration with Recursion Pharmaceuticals.,https://example.com/sec18,2024-01,Roche,SEC,Roche entered into a collaboration with Recursion Pharmaceuticals.,https://example.com/sec18,2024-01,Roche,False,,,True
43,PUBMED,Takeda worked with Arrowhead Pharmaceuticals on RNAi therapeutics.,https://example.com/pubmed9,2021-04,Takeda,PUBMED,Takeda worked with Arrowhead Pharmaceuticals on RNAi therapeutics.,https://example.com/pubmed9,2021-04,Takeda,False,,,True
44,USPTO,Amgen co-filed a patent with Generate Biomedicines.,https://example.com/uspto7,2024-02,Amgen,USPTO,Amgen co-filed a patent with Generate Biomedicines.,https://example.com/uspto7,2024-02,Amgen,False,,,True
45,SEC,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,https://example.com/sec19,2023-11,Biogen,SEC,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,https://example.com/sec19,2023-11,Biogen,False,,,True
46,PUBMED,GSK partnered with CureVac on next-generation mRNA vaccines.,https://example.com/pubmed10,2022-05,GSK,PUBMED,GSK partnered with CureVac on next-generation mRNA vaccines.,https://example.com/pubmed10,2022-05,GSK,False,,,True
47,SEC,Johnson & Johnson acquired Shockwave Medical.,https://example.com/sec20,2024-06,Johnson & Johnson,SEC,Johnson & Johnson acquired Shockwave Medical.,https://example.com/sec20,2024-06,Johnson & Johnson,False,,,True
48,USPTO,Novo Nordisk filed patent with Valo Health on computational drug discovery.,https://example.com/uspto8,2023-12,Novo Nordisk,USPTO,Novo Nordisk filed patent with Valo Health on computational drug discovery.,https://example.com/uspto8,2023-12,Novo Nordisk,False,,,True
49,SEC,Acme Bio collaborated with Beta Pharma.,,2023-13,Acme Bio,SEC,Acme Bio collaborated with Beta Pharma.,,2023-13,Acme Bio,False,,,True
51,SEC,BioNTech entered into a collaboration with Genentech.,https://example.com/sec21,2023-09,Pfizer,SEC,BioNTech entered into a collaboration with Genentech.,https://example.com/sec21,2023-09,Pfizer,False,,,True
52,PUBMED,Sanofi worked with Regeneron on immunology programs.,https://example.com/pubmed11,2020-10,Takeda,PUBMED,Sanofi worked with Regeneron on immunology programs.,https://example.com/pubmed11,2020-10,Takeda,False,,,True
53,SEC,"""Moderna"" acquired 'Example Vaccine Co'.",https://example.com/sec22,2023-02,Moderna,SEC,"""Moderna"" acquired 'Example Vaccine Co'.",https://example.com/sec22,2023-02,Moderna,False,,,True
54,PUBMED,Seagen/Genmab collaboration was discussed in the review article.,https://example.com/pubmed12,2021-02,Seagen,PUBMED,Seagen/Genmab collaboration was discussed in the review article.,https://example.com/pubmed12,2021-02,Seagen,False,,,True
55,USPTO,"Merck & Co., Inc.; Moderna, Inc. ; and BioNTech SE were referenced in patent prosecution history.",https://example.com/uspto9,2024-03,Merck,USPTO,"Merck & Co., Inc.; Moderna, Inc. ; and BioNTech SE were referenced in patent prosecution history.",https://example.com/uspto9,2024-03,Merck,False,,,True
56,SEC,   Pfizer   licensed technology   from   Beam Therapeutics   ,https://example.com/sec23,2024-04,Pfizer,SEC,Pfizer licensed technology from Beam Therapeutics,https://example.com/sec23,2024-04,Pfizer,False,,,True
57,PUBMED,FDA collaborated with Pfizer on regulatory science workshops.,https://example.com/pubmed13,2022-06,Pfizer,PUBMED,FDA collaborated with Pfizer on regulatory science workshops.,https://example.com/pubmed13,2022-06,Pfizer,False,,,True
58,SEC,University of Pennsylvania licensed technology to Spark Therapeutics.,https://example.com/sec24,2020-09,Spark Therapeutics,SEC,University of Pennsylvania licensed technology to Spark Therapeutics.,https://example.com/sec24,2020-09,Spark Therapeutics,False,,,True
59,SEC,Alnylam acquired Example RNA Startup.,not_a_url,2024-05,Alnylam,SEC,Alnylam acquired Example RNA Startup.,not_a_url,2024-05,Alnylam,False,,,True
60,PUBMED,Example Biotech worked with Example Diagnostics.,https://example.com/pubmed14,,Example Biotech,PUBMED,Example Biotech worked with Example Diagnostics.,https://example.com/pubmed14,,Example Biotech,False,,,True
