source_id,source_type,source_type_cleaned,source_url,source_url_cleaned,date,date_cleaned,company_seed,company_seed_cleaned,raw_text,raw_text_cleaned,raw_mention,entity_label,start_char,end_char
34,SEC,SEC,https://example.com/sec14,https://example.com/sec14,2024-02,2024-02,Merck,Merck,"Merck licensed technology from Moderna. Later, Merck collaborated with BioNTech on a separate vaccine effort.","Merck licensed technology from Moderna. Later, Merck collaborated with BioNTech on a separate vaccine effort.",Merck,ORG,0,5
34,SEC,SEC,https://example.com/sec14,https://example.com/sec14,2024-02,2024-02,Merck,Merck,"Merck licensed technology from Moderna. Later, Merck collaborated with BioNTech on a separate vaccine effort.","Merck licensed technology from Moderna. Later, Merck collaborated with BioNTech on a separate vaccine effort.",Merck,ORG,47,52
37,SEC,SEC,https://example.com/sec15,https://example.com/sec15,2023-09,2023-09,CSL Behring,CSL Behring,CSL Behring and CSL Behring GmbH were both referenced in the transaction summary.,CSL Behring and CSL Behring GmbH were both referenced in the transaction summary.,CSL Behring,ORG,0,11
37,SEC,SEC,https://example.com/sec15,https://example.com/sec15,2023-09,2023-09,CSL Behring,CSL Behring,CSL Behring and CSL Behring GmbH were both referenced in the transaction summary.,CSL Behring and CSL Behring GmbH were both referenced in the transaction summary.,CSL Behring GmbH,ORG,16,32
38,SEC,SEC,https://example.com/sec16,https://example.com/sec16,2024-07,2024-07,10X Genomics,10X Genomics,10X Genomics Sweden AB and 10X Genomics BV were both mentioned in the filing.,10X Genomics Sweden AB and 10X Genomics BV were both mentioned in the filing.,Genomics Sweden AB,ORG,4,22
39,PUBMED,PUBMED,https://example.com/pubmed8,https://example.com/pubmed8,2022-01,2022-01,Johnson & Johnson,Johnson & Johnson,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,J&J,ORG,0,3
39,PUBMED,PUBMED,https://example.com/pubmed8,https://example.com/pubmed8,2022-01,2022-01,Johnson & Johnson,Johnson & Johnson,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,Johnson Innovative Medicine,ORG,28,55
40,USPTO,USPTO,https://example.com/uspto6,https://example.com/uspto6,2021-03,2021-03,Regeneron,Regeneron,"Regeneron and Regeneron Pharmaceuticals, Inc. appear as co-assignees in related filings.","Regeneron and Regeneron Pharmaceuticals, Inc. appear as co-assignees in related filings.",Regeneron Pharmaceuticals,ORG,14,39
41,SEC,SEC,https://example.com/sec17,https://example.com/sec17,2023-10,2023-10,Eli Lilly,Eli Lilly,Eli Lilly acquired POINT Biopharma to strengthen its radiopharmaceutical portfolio.,Eli Lilly acquired POINT Biopharma to strengthen its radiopharmaceutical portfolio.,Eli Lilly,ORG,0,9
42,SEC,SEC,https://example.com/sec18,https://example.com/sec18,2024-01,2024-01,Roche,Roche,Roche entered into a collaboration with Recursion Pharmaceuticals.,Roche entered into a collaboration with Recursion Pharmaceuticals.,Roche,ORG,0,5
42,SEC,SEC,https://example.com/sec18,https://example.com/sec18,2024-01,2024-01,Roche,Roche,Roche entered into a collaboration with Recursion Pharmaceuticals.,Roche entered into a collaboration with Recursion Pharmaceuticals.,Recursion Pharmaceuticals,ORG,40,65
43,PUBMED,PUBMED,https://example.com/pubmed9,https://example.com/pubmed9,2021-04,2021-04,Takeda,Takeda,Takeda worked with Arrowhead Pharmaceuticals on RNAi therapeutics.,Takeda worked with Arrowhead Pharmaceuticals on RNAi therapeutics.,Arrowhead Pharmaceuticals,ORG,19,44
44,USPTO,USPTO,https://example.com/uspto7,https://example.com/uspto7,2024-02,2024-02,Amgen,Amgen,Amgen co-filed a patent with Generate Biomedicines.,Amgen co-filed a patent with Generate Biomedicines.,Amgen,ORG,0,5
45,SEC,SEC,https://example.com/sec19,https://example.com/sec19,2023-11,2023-11,Biogen,Biogen,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,Biogen,ORG,0,6
45,SEC,SEC,https://example.com/sec19,https://example.com/sec19,2023-11,2023-11,Biogen,Biogen,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,Stoke Therapeutics,ORG,49,67
46,PUBMED,PUBMED,https://example.com/pubmed10,https://example.com/pubmed10,2022-05,2022-05,GSK,GSK,GSK partnered with CureVac on next-generation mRNA vaccines.,GSK partnered with CureVac on next-generation mRNA vaccines.,GSK,ORG,0,3
46,PUBMED,PUBMED,https://example.com/pubmed10,https://example.com/pubmed10,2022-05,2022-05,GSK,GSK,GSK partnered with CureVac on next-generation mRNA vaccines.,GSK partnered with CureVac on next-generation mRNA vaccines.,CureVac,ORG,19,26
47,SEC,SEC,https://example.com/sec20,https://example.com/sec20,2024-06,2024-06,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson acquired Shockwave Medical.,Johnson & Johnson acquired Shockwave Medical.,Johnson & Johnson,ORG,0,17
47,SEC,SEC,https://example.com/sec20,https://example.com/sec20,2024-06,2024-06,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson acquired Shockwave Medical.,Johnson & Johnson acquired Shockwave Medical.,Shockwave Medical,ORG,27,44
48,USPTO,USPTO,https://example.com/uspto8,https://example.com/uspto8,2023-12,2023-12,Novo Nordisk,Novo Nordisk,Novo Nordisk filed patent with Valo Health on computational drug discovery.,Novo Nordisk filed patent with Valo Health on computational drug discovery.,Valo Health,ORG,31,42
49,SEC,SEC,,,2023-13,2023-13,Acme Bio,Acme Bio,Acme Bio collaborated with Beta Pharma.,Acme Bio collaborated with Beta Pharma.,Acme Bio,ORG,0,8
51,SEC,SEC,https://example.com/sec21,https://example.com/sec21,2023-09,2023-09,Pfizer,Pfizer,BioNTech entered into a collaboration with Genentech.,BioNTech entered into a collaboration with Genentech.,Genentech,ORG,43,52
54,PUBMED,PUBMED,https://example.com/pubmed12,https://example.com/pubmed12,2021-02,2021-02,Seagen,Seagen,Seagen/Genmab collaboration was discussed in the review article.,Seagen/Genmab collaboration was discussed in the review article.,Seagen/Genmab,ORG,0,13
55,USPTO,USPTO,https://example.com/uspto9,https://example.com/uspto9,2024-03,2024-03,Merck,Merck,"Merck & Co., Inc.; Moderna, Inc. ; and BioNTech SE were referenced in patent prosecution history.","Merck & Co., Inc.; Moderna, Inc. ; and BioNTech SE were referenced in patent prosecution history.",Merck & Co.,ORG,0,11
56,SEC,SEC,https://example.com/sec23,https://example.com/sec23,2024-04,2024-04,Pfizer,Pfizer,   Pfizer   licensed technology   from   Beam Therapeutics   ,Pfizer licensed technology from Beam Therapeutics,Beam Therapeutics,ORG,32,49
57,PUBMED,PUBMED,https://example.com/pubmed13,https://example.com/pubmed13,2022-06,2022-06,Pfizer,Pfizer,FDA collaborated with Pfizer on regulatory science workshops.,FDA collaborated with Pfizer on regulatory science workshops.,FDA,ORG,0,3
58,SEC,SEC,https://example.com/sec24,https://example.com/sec24,2020-09,2020-09,Spark Therapeutics,Spark Therapeutics,University of Pennsylvania licensed technology to Spark Therapeutics.,University of Pennsylvania licensed technology to Spark Therapeutics.,University of Pennsylvania,ORG,0,26
58,SEC,SEC,https://example.com/sec24,https://example.com/sec24,2020-09,2020-09,Spark Therapeutics,Spark Therapeutics,University of Pennsylvania licensed technology to Spark Therapeutics.,University of Pennsylvania licensed technology to Spark Therapeutics.,Spark Therapeutics,ORG,50,68
59,SEC,SEC,not_a_url,not_a_url,2024-05,2024-05,Alnylam,Alnylam,Alnylam acquired Example RNA Startup.,Alnylam acquired Example RNA Startup.,Alnylam,ORG,0,7
59,SEC,SEC,not_a_url,not_a_url,2024-05,2024-05,Alnylam,Alnylam,Alnylam acquired Example RNA Startup.,Alnylam acquired Example RNA Startup.,Example RNA Startup,ORG,17,36
60,PUBMED,PUBMED,https://example.com/pubmed14,https://example.com/pubmed14,,,Example Biotech,Example Biotech,Example Biotech worked with Example Diagnostics.,Example Biotech worked with Example Diagnostics.,Example Diagnostics,ORG,28,47
